dataset_name,model_type,batch_size,hidden_channels,num_layers,learning_rate,epochs,name,training_time,computation_time,peak_memory,throughput,computation_throughput
QM9,std_concat,1024,64,7,0.0001,10,,25.850719451904297,21.699336290359497,675.014656,0.38683642900558995,0.4608435883102454
QM9,alternative_sum,1024,64,7,0.0001,10,,19.43599033355713,8.14717960357666,241.588224,0.5145094141529049,1.2274186266385905
QM9,std_concat,1024,128,7,0.0001,10,,31.27440595626831,26.825782537460327,1250.043904,0.31975027803831735,0.372775705090269
QM9,alternative_sum,1024,128,7,0.0001,10,,19.245720148086548,11.798112154006958,438.674432,0.5195960412525391,0.8475932309732901
QM9,std_concat,2048,32,7,0.0001,10,,17.614253282546997,11.149861812591553,744.519168,0.5677220509772307,0.8968721019221052
QM9,alternative_sum,2048,32,7,0.0001,10,,17.35681986808777,5.082859754562378,264.710144,0.576142408344399,1.9673964033778415
QM9,std_concat,2048,64,7,0.0001,10,,25.675641775131226,20.86935257911682,1317.70624,0.38947419844771886,0.4791715489059601
QM9,alternative_sum,2048,64,7,0.0001,10,,16.79178762435913,6.740400552749634,458.56256,0.5955292089028941,1.4835913565879504
QM9,std_concat,2048,128,7,0.0001,10,,37.07166767120361,32.24038243293762,2451.4304,0.2697477785108589,0.3101700180139221
QM9,alternative_sum,2048,128,7,0.0001,10,,17.502889156341553,11.282711505889893,854.112256,0.5713342472020886,0.8863117695404796
PPI,std_concat,1,32,7,0.0001,10,,65.23129367828369,39.36410975456238,18882.624512,0.15330065427368833,0.25403851534686317
PPI,alternative_sum,1,32,7,0.0001,10,,61.883504152297974,27.071791648864746,1971.96288,0.1615939520068154,0.3693881856696156
PPI,std_concat,1,64,7,0.0001,10,,95.77916312217712,79.60366559028625,30873.453056,0.10440684251170447,0.12562235577780057
PPI,alternative_sum,1,64,7,0.0001,10,,73.09675312042236,55.32066082954407,3354.921984,0.1368049820698003,0.18076429041244366
PPI,std_concat,1,128,7,0.0001,10,,,,,,,
PPI,alternative_sum,1,128,7,0.0001,10,,101.78209662437439,87.42031598091125,6403.772416,0.09824910599852232,0.11438988623861254,
PPI,std_concat,2,32,7,0.0001,10,,,,,,,
PPI,alternative_sum,2,32,7,0.0001,10,,66.79300618171692,25.89698839187622,4027.480064,0.14971627377863514,0.38614528642013674,
PPI,std_concat,2,64,7,0.0001,10,,,,,,,
PPI,alternative_sum,2,64,7,0.0001,10,,79.40241074562073,53.49764966964722,6244.063232,0.12594076056502515,0.18692409968944237,
PPI,std_concat,2,128,7,0.0001,10,,,,,,,
PPI,alternative_sum,2,128,7,0.0001,10,,109.68240213394165,87.04502153396606,11454.00064,0.09117232851800809,0.1148830780184008,
PPI,std_concat,4,32,7,0.0001,10,,,,,,,
PPI,alternative_sum,4,32,7,0.0001,10,,77.47746515274048,25.770568132400513,6468.59264,0.1290697879736491,0.38803956314130766,
PPI,std_concat,4,64,7,0.0001,10,,,,,,,
PPI,alternative_sum,4,64,7,0.0001,10,,95.01361274719238,53.34745121002197,9915.048448,0.10524807667936505,0.18745037997469272,
PPI,std_concat,4,128,7,0.0001,10,,,,,,,
PPI,alternative_sum,4,128,7,0.0001,10,,128.46887755393982,87.49637246131897,20362.051072,0.07783986433446756,0.11429045249185471,
PPI,std_concat,8,32,7,0.0001,10,,,,,,,
PPI,alternative_sum,8,32,7,0.0001,10,,101.50134658813477,25.721253871917725,9241.886208,0.09852086042343179,0.38878353480729516,
PPI,std_concat,8,64,7,0.0001,10,,,,,,,
PPI,alternative_sum,8,64,7,0.0001,10,,123.04429745674133,53.34371733665466,16045.673984,0.08127154371795002,0.18746350084471125,
PPI,std_concat,8,128,7,0.0001,10,,,,,,,
PPI,alternative_sum,8,128,7,0.0001,10,,,,,,,
---
MD17,std_concat,32,32,7,0.0001,10,aspirin,2.497727394104004,1.3642206192016602,410.783744,4.003639477873143,7.330192682362465
MD17,alternative_sum,32,32,7,0.0001,10,aspirin,2.7434237003326416,1.7281546592712402,65.439744,3.6450804149528544,5.786519132620331
MD17,std_concat,32,64,7,0.0001,10,aspirin,2.4544196128845215,1.5385463237762451,662.205952,4.074282957773322,6.499641801785831
MD17,alternative_sum,32,64,7,0.0001,10,aspirin,2.7387259006500244,2.0553102493286133,98.505728,3.6513329054311514,4.865445498199892
MD17,std_concat,32,128,7,0.0001,10,aspirin,3.189146041870117,2.564140796661377,1167.029248,3.135635643119057,3.8999418491451157
